method_key,method_label,checkpoint_step,fvd,psnr,ssim,sharpness,fft_hf,motion,lowfreq_motion,temporal_delta,source_file
frame_adaln_2epoch,"Frame AdaLN, 2 epoch",100,79.4890355440368,18.49735266416736,0.768873414863634,0.17237632700858757,nan,0.6702647426523121,nan,9.415040540695191,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_adaln_2epoch,"Frame AdaLN, 2 epoch",250,82.31967777136856,18.4189708466943,0.7673771239822593,0.1537563785336466,nan,0.6048576472366138,nan,9.285115480422974,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_adaln_2epoch,"Frame AdaLN, 2 epoch",500,78.55764130033802,18.65925503128732,0.7671077414123151,0.12855197374174007,nan,0.5033847377884308,nan,8.610178804397583,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_adaln_2epoch,"Frame AdaLN, 2 epoch",1000,79.47699319207018,17.997481159365613,0.755187149286195,0.15233127444365785,nan,0.5443556459223294,nan,8.689752960205078,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_adaln_2epoch,"Frame AdaLN, 2 epoch",1500,93.91433402638029,18.420060237729018,0.7623152822525594,0.12834999132700517,nan,0.5295777232479477,nan,8.599023914337158,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_adaln_2epoch,"Frame AdaLN, 2 epoch",2000,97.6136279912754,18.510997364387244,0.7636147858940406,0.14029616816775997,nan,0.5676057088862967,nan,8.87319655418396,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_adaln_2epoch,"Frame AdaLN, 2 epoch",2500,82.59117189455861,18.9890161583616,0.7925849779988742,0.12873078739553112,nan,0.4716494919306465,nan,8.083077144622802,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_adaln_2epoch,"Frame AdaLN, 2 epoch",3000,92.49037412659442,18.430317171504363,0.7413687695004325,0.12265819054744675,nan,0.5075512781033588,nan,8.517647790908814,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_adaln_2epoch,"Frame AdaLN, 2 epoch",4000,77.60752615160709,19.067010507860324,0.7896365815699372,0.13491529216648196,nan,0.5510378960130355,nan,8.751795959472656,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_adaln_2epoch,"Frame AdaLN, 2 epoch",5000,92.08970136029072,18.67727175961321,0.771063390049185,0.11839659851159831,nan,0.4846011999704114,nan,8.423970460891724,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
