method_key,method_label,checkpoint_step,fvd,psnr,ssim,sharpness,fft_hf,motion,lowfreq_motion,temporal_delta,source_file
v4_actionstrong_text,V4 action-strong + text,4000,78.4371670788644,17.826100508265462,0.7209502322995033,0.25002802364749305,0.7406914564686274,0.6169681987518731,0.6123255059263348,8.809299898147582,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_actionstrong_text,V4 action-strong + text,5000,76.14953815399949,17.734452786057954,0.718729812885553,0.2527459544628287,0.7659861324284369,0.6320156679911191,0.6269621803083971,8.894094753265382,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_actionstrong_text,V4 action-strong + text,6000,76.78703759766657,17.77951705380385,0.7194754434250779,0.2478323609678132,0.7539561558429677,0.6248077124130116,0.6204985937459858,8.873617887496948,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_actionstrong_text,V4 action-strong + text,7000,78.23484021663495,17.828450462563495,0.7208459113821991,0.23810567135022764,0.7313748950893194,0.6236047690378985,0.6186582052332663,8.858524990081786,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_actionstrong_text,V4 action-strong + text,7992,77.61281262484673,17.857128473335898,0.721733403627045,0.23546918341351666,0.7303195597984,0.6212469976448114,0.6172085751923496,8.851558828353882,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_conservative_notext,"V4 conservative, no text",0,88.53478401981323,16.810930679667667,0.6319864888181467,0.30992147510890217,0.8912099719321528,0.738037949251012,0.7323990047188482,9.789863395690919,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_conservative_notext,"V4 conservative, no text",100,87.014989687748,16.818255619209364,0.6322652532043629,0.31058194744378526,0.8944631043580831,0.7404417390954328,0.734145918681711,9.798389339447022,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_conservative_notext,"V4 conservative, no text",250,85.64580323605108,16.809891883032844,0.6310750705984784,0.30515759469395326,0.8826668990583052,0.733744689152863,0.7279712804635875,9.752061986923218,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_conservative_notext,"V4 conservative, no text",500,89.6328100977176,16.887411230411097,0.6363753147987987,0.28010279424983076,0.8423744361706911,0.701837220993715,0.6970363231291354,9.483229064941407,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_conservative_notext,"V4 conservative, no text",750,92.83542859141372,16.97639522341622,0.6404104672052503,0.26677160409332046,0.8175460869434247,0.682478852002387,0.6777630462728157,9.320701313018798,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_conservative_notext,"V4 conservative, no text",1000,87.13624273379273,17.04404108719782,0.6433767375017465,0.24881774362321152,0.7833829499057694,0.6676403552023665,0.6615691394999407,9.219782829284668,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_conservative_notext,"V4 conservative, no text",1500,82.92025462766819,17.101808765347037,0.6455919360604552,0.23106275102954904,0.7368030416896729,0.6416813870480919,0.6362261606711828,9.102086448669434,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_conservative_notext,"V4 conservative, no text",2000,81.87794765530339,17.233612782635937,0.6499380385111811,0.21274721601718133,0.7026179629099879,0.6300933298291143,0.6248972374563267,8.983851957321168,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
