model_mode,num_clips,mean_future_mse,mean_future_mae,mean_future_psnr,mean_future_global_ssim,mean_context_mse,mean_context_psnr,mean_generated_future_laplacian_sharpness,mean_sharpness_ratio_generated_over_reference,mean_fft_high_frequency_energy_ratio_generated_over_reference,mean_motion_ratio_generated_over_reference,mean_low_frequency_motion_ratio_generated_over_reference,mean_temporal_delta_error_mae,mean_low_frequency_temporal_delta_error_mae,mean_boundary_mae_ratio_generated_over_reference,mean_copy_leakage_ratio_min_context_over_future,method_key,checkpoint_step,future_fvd_style,rank,source_table,method_label,fvd_future,fvd_backend,fvd_num_videos,fvd_num_frames,fvd_size
v4_main_text_r128_partial_step015000,5,2304.8945129394533,26.404596424102785,17.2757005045237,0.7010553973720486,53.843186950683595,31.48674109185937,79.42368831634522,0.35238972214465436,0.9833078510383171,0.7074009895156268,0.7020974596857512,9.26429271697998,9.262991285324096,0.6311068077077373,1.0832333140455088,v4_main_text_r128_partial,15000,85.80875018111584,,three_epoch,,,,,,
v4_main_text_r32_3epoch_step007992,5,2309.8652282714843,26.44302406311035,17.260605937438914,0.7005251995202482,53.86994171142578,31.48284716543649,81.14910621643067,0.35829153112015494,0.9828570760768829,0.7122350708468475,0.7073841085516741,9.289296340942382,9.287053489685059,0.6326732735635573,1.0837193905842861,v4_main_text_r32_3epoch,7992,86.50524061877263,32,three_epoch,,,,,,
v4_main_text_r32_3epoch_step010000,5,2310.7695404052733,26.409343719482422,17.257212338088486,0.699808887866614,53.840217971801756,31.4814699701483,81.90861206054687,0.3624846965398329,0.9798038542902795,0.7167847482541578,0.7122433249322195,9.32914204597473,9.33639054298401,0.6286415917575969,1.0807828944534705,v4_main_text_r32_3epoch,10000,88.30257351486549,32,three_epoch,,,,,,
v4_main_text_r32_3epoch_step012000,5,2311.9114044189455,26.405699920654296,17.26123347137904,0.7001726230664251,53.878483581542966,31.48197045600569,82.2093952178955,0.3623931281105375,0.9779513741352603,0.7155434247842161,0.7102627636909503,9.321394395828246,9.326700067520141,0.6158972422735716,1.0807158723729517,v4_main_text_r32_3epoch,12000,89.90936177772511,32,three_epoch,,,,,,
v4_main_text_r32_3epoch_step014000,5,2310.068817138672,26.385341548919676,17.259489963442707,0.7002564918758176,53.84599304199219,31.485114766525168,81.48626136779785,0.3600366191369869,0.977817280168226,0.7159887281359182,0.711146064243293,9.322306251525879,9.327820014953613,0.6153303160585499,1.0811947153673684,v4_main_text_r32_3epoch,14000,88.97414106698423,32,three_epoch,,,,,,
v4_main_text_r32_3epoch_step015984,5,2314.9302490234377,26.42843704223633,17.255012314612422,0.7000496617756011,53.85947723388672,31.484716629384263,81.90915203094482,0.3606845998649202,0.9750910007373271,0.7186872674945836,0.7140747939831393,9.33564796447754,9.343520307540894,0.6194911604922109,1.081261852595534,v4_main_text_r32_3epoch,15984,87.825016263897,32,three_epoch,,,,,,
v4_main_text_r32_3epoch_step018000,5,2305.681106567383,26.43256378173828,17.26097987618984,0.7008115634246666,53.839968872070315,31.48493623916488,80.90266418457031,0.35804497945656316,0.9862784401023841,0.7145494483515857,0.7101932005302772,9.293266487121581,9.293449115753173,0.6165018935150928,1.083498489089537,v4_main_text_r32_3epoch,18000,83.9578298855325,32,three_epoch,,,,,,
v4_main_text_r32_3epoch_step020000,5,2314.2798919677734,26.43158588409424,17.259129558738454,0.7001107296958692,53.883019256591794,31.481390977693387,81.82762718200684,0.3612524219167478,0.9761625251212921,0.7188473719059438,0.7141228172016079,9.334971952438355,9.339547920227051,0.6175122133629676,1.0807716360878192,v4_main_text_r32_3epoch,20000,88.43764007373471,32,three_epoch,,,,,,
v4_main_text_r32_3epoch_step022000,5,2309.2427734375,26.386476707458495,17.27022368554142,0.7011131215171219,53.80725517272949,31.48805860902251,81.6673454284668,0.3598334606197683,0.9730326016272256,0.7131357068110723,0.7079848719489436,9.300565671920776,9.300234651565551,0.6362054840003984,1.0799373896388347,v4_main_text_r32_3epoch,22000,86.26427874444298,32,three_epoch,,,,,,
v4_main_text_r32_3epoch_step023976,5,2310.6671813964845,26.391981506347655,17.25652648138014,0.7002194239325865,53.85699996948242,31.48258457358319,81.44846248626709,0.35950030416461665,0.9768982739429294,0.7147261832898053,0.7097582110111099,9.320401477813721,9.324287128448486,0.6151164124170653,1.080309026998254,v4_main_text_r32_3epoch,23976,89.23053152507566,32,three_epoch,,,,,,
v4_main_text_r64_3epoch_step007992,5,2306.5919982910154,26.437233448028564,17.261850422836762,0.700946509665268,53.846724319458005,31.485733846302555,80.73403053283691,0.3571938801079588,0.9870925140361484,0.7091200206540375,0.7035987953604061,9.265178680419922,9.26024956703186,0.6290702418352356,1.0839394502037973,v4_main_text_r64_3epoch,7992,83.90570425123443,64,three_epoch,,,,,,
v4_main_text_r64_3epoch_step010000,5,2281.2255859375,26.35820245742798,17.27813248157007,0.7030940938775887,53.802510833740236,31.488032916503734,81.69912681579589,0.36017266903173945,0.9834388189530741,0.7103601517506977,0.7058830091841719,9.276864433288575,9.273039960861206,0.6320522202340083,1.0855103361601723,v4_main_text_r64_3epoch,10000,82.76936715142395,64,three_epoch,,,,,,
