model_mode,num_clips,mean_future_mse,mean_future_mae,mean_future_psnr,mean_future_global_ssim,mean_context_mse,mean_context_psnr,mean_generated_future_laplacian_sharpness,mean_sharpness_ratio_generated_over_reference,mean_fft_high_frequency_energy_ratio_generated_over_reference,mean_motion_ratio_generated_over_reference,mean_low_frequency_motion_ratio_generated_over_reference,mean_temporal_delta_error_mae,mean_low_frequency_temporal_delta_error_mae,mean_boundary_mae_ratio_generated_over_reference,mean_copy_leakage_ratio_min_context_over_future,method_key,checkpoint_step,future_fvd_style
v4_main_text_r64_step000000,5,2334.9787200927735,26.629851245880126,17.20088476425145,0.6980740463322398,53.928121948242186,31.478515077219317,84.28390579223633,0.3713877331706159,0.9876728105690088,0.7270184581462379,0.7218768544838321,9.373269987106323,9.375518417358398,0.5957765235023181,1.0783300651334904,v4_main_text_r64,0,89.18854690665046
v4_main_text_r64_step000100,5,2329.540979003906,26.593121337890626,17.206716008083262,0.6982905346752752,53.97581481933594,31.474206134505334,83.97340965270996,0.3702602868860253,0.9906347214310787,0.7242437394087957,0.720218771236657,9.367441844940185,9.377374982833862,0.59933971669455,1.078982166286046,v4_main_text_r64,100,89.73262076401485
v4_main_text_r64_step000250,5,2304.392608642578,26.528526306152344,17.232313901592637,0.7008973760803354,53.84172325134277,31.4846605005262,81.41376209259033,0.3613544104138843,0.9921715875169053,0.7181656522181614,0.7136089488534665,9.312615156173706,9.312428760528565,0.6110721034758085,1.083398172762236,v4_main_text_r64,250,86.07182779255643
v4_main_text_r64_step000500,5,2327.2031646728515,26.579171466827393,17.223591925506565,0.6985574858970276,53.86835556030273,31.481885992362102,82.48863735198975,0.36274262874038055,0.9819059222642922,0.7201702438042187,0.7154716004865678,9.336830663681031,9.337131643295288,0.6033406170784283,1.0785789580924956,v4_main_text_r64,500,86.73067661527864
v4_main_text_r64_step000750,5,2311.661309814453,26.45770969390869,17.249313141493758,0.6997994319649232,53.870565795898436,31.483913534621458,82.39177074432374,0.3628362565156598,0.9768278407308782,0.7187557440433961,0.7134209512295298,9.337003946304321,9.341776180267335,0.6057378822451058,1.080701537983369,v4_main_text_r64,750,86.75147352378991
v4_main_text_r64_step001000,5,2315.8420806884765,26.46949758529663,17.246338287157148,0.6998907735144712,53.88289527893066,31.48162610802865,81.44764194488525,0.35942019756356547,0.9754178358391465,0.7156886481866236,0.7110463218268583,9.31544771194458,9.317477416992187,0.6157321016917697,1.0787984134907265,v4_main_text_r64,1000,85.52082227950447
v4_main_text_r64_step001500,5,2312.51682434082,26.448755264282227,17.255424942316147,0.7000169011766075,53.838172912597656,31.486410774777006,82.10054798126221,0.36278305986114245,0.9791848840245528,0.7150863354767542,0.709673317313466,9.31596245765686,9.31759433746338,0.6248977476715687,1.0802370419382135,v4_main_text_r64,1500,85.33231549970978
v4_main_text_r64_step002000,5,2310.52614440918,26.41450490951538,17.258395482699903,0.7001974669589751,53.882198333740234,31.480442457891126,81.60838432312012,0.3604600938894925,0.9781764854169033,0.7145959251783998,0.7098478363549351,9.322694110870362,9.329414319992065,0.6127422529925293,1.0805841351313759,v4_main_text_r64,2000,87.13420219900155
v4_main_text_r64_step002500,5,2316.293176269531,26.462147903442382,17.25844259744101,0.6998982441653596,53.872954559326175,31.48169601021379,82.09291515350341,0.36160291704446756,0.9749679230331341,0.7175182118009257,0.7123827105782866,9.33163628578186,9.333501529693603,0.609103332652954,1.0808995974133904,v4_main_text_r64,2500,87.48757898211323
v4_main_text_r64_step003000,5,2310.6134399414063,26.423899459838868,17.25516459832538,0.7002458094924972,53.85183448791504,31.48449353854848,81.43125915527344,0.35948241111242907,0.9833872962420507,0.7105868031015701,0.7050945075251386,9.279156303405761,9.277611207962035,0.6152707242606532,1.0830763629304252,v4_main_text_r64,3000,83.74867444093348
v4_main_text_r64_step004000,5,2298.1985443115236,26.407656764984132,17.269480694639473,0.701260041019034,53.8798023223877,31.48098509430419,80.28416919708252,0.3562000350255121,0.9832046619430189,0.7113062301944867,0.7064596914111548,9.275077438354492,9.270431184768677,0.6254254717696096,1.0847893861322029,v4_main_text_r64,4000,83.2690607414323
v4_main_text_r64_step005000,5,2313.5104583740235,26.451688289642334,17.25881261037185,0.700496064276571,53.797644805908206,31.490095959736756,80.6832872390747,0.3564637998958506,0.9809419868379609,0.7110373785027301,0.7065826464735443,9.274177646636963,9.277816677093506,0.6296026380616664,1.0824623460141323,v4_main_text_r64,5000,86.40078003620934
v4_main_text_r64_step006000,5,2310.536990356445,26.42344799041748,17.26906600030943,0.7007820415925362,53.85397720336914,31.484703340555797,81.4083402633667,0.3589884796093818,0.9773276722045573,0.7104886408536958,0.7050903484021042,9.273982572555543,9.272347021102906,0.6169355226932336,1.0827855903125319,v4_main_text_r64,6000,86.98461988855655
v4_main_text_r64_step007000,5,2307.5380615234376,26.40369939804077,17.26642491193042,0.7004574504697584,53.89448432922363,31.478894017674786,81.30469398498535,0.35978321700257726,0.9757697161563705,0.714006243461254,0.7090265295940448,9.306057548522949,9.306789875030518,0.6135582424318031,1.0808173186693364,v4_main_text_r64,7000,87.41164449128979
v4_main_text_r64_step007992,5,2313.454751586914,26.445338249206543,17.256054018145996,0.7000470165189142,53.817525482177736,31.48649157620225,81.4103178024292,0.35952302252435336,0.9777694305464915,0.7135756521131239,0.7083751791579072,9.298196601867676,9.298113012313843,0.6247072251046025,1.0807933644523202,v4_main_text_r64,7992,85.6024938001477
